acl 2.3.1-1
pkgconf 1.8.0-1
playerctl 2.4.1-1
polkit 0.120-2
polkit-qt5 0.114.0-1
popt 1.18-1
portaudio 1:19.7.0-1
portmidi 236-1
portsmf 234-2
procps-ng 3.3.17-1
protobuf 3.17.3-3
psmisc 23.4-1
pulseaudio 15.0-1
pulseaudio-bluetooth 15.0-1
python 3.10.1-1
python-anytree 2.8.0-5
python-appdirs 1.4.4-6
python-attrs 21.2.0-3
python-beautifulsoup4 4.9.3-6
python-cachecontrol 1:0.12.6-4
python-cffi 1.15.0-3
python-chardet 4.0.0-5
python-click 8.0.3-3
python-colorama 0.4.4-6
python-contextlib2 0.6.0.post1-5
python-cryptography 36.0.0-1
python-decorator 5.1.0-3
python-distlib 0.3.3-4
python-distro 1.6.0-4
python-flask 2.0.2-3
python-flask-cors 3.0.10-3
python-gobject 3.42.0-3
python-html5lib 1.1-11
python-idna 3.3-3
python-importlib-metadata 4.8.1-3
python-itsdangerous 2.0.1-3
python-jinja 3.0.3-3
python-jsonschema 3.2.0-6
python-lxml 4.6.4-3
python-markdown 3.3.6-3
python-markupsafe 2.0.1-3
python-more-itertools 8.10.0-4
python-msgpack 1.0.2-4
python-mypy-protobuf 2.9-1
python-mypy_extensions 0.4.3-5
python-ordered-set 4.0.2-6
python-orjson 3.6.5-2
python-packaging 20.9-6
python-pep517 0.12.0-4
python-pip 20.3.4-4
python-ply 3.11-10
python-progress 1.6-5
python-protobuf 3.17.3-3
python-psutil 5.8.0-3
python-pyalsa 1.2.6-2
python-pyaudio 0.2.11-8
python-pycparser 2.21-3
python-pygments 2.10.0-4
python-pyopenssl 21.0.0-5
python-pyparsing 2.4.7-6
python-pyqt5 5.15.6-6
python-pyqt5-sip 12.9.0-3
python-pyqt5-webengine 5.15.5-3
python-pyrsistent 0.18.0-3
python-pysocks 1.7.1-7
python-requests 2.26.0-5
python-resolvelib 0.5.5-4
python-retrying 1.3.3-13
python-send2trash 1.8.0-3
python-setuptools 1:57.4.0-6
python-six 1.16.0-4
python-soupsieve 2.2.1-4
python-stringcase 1.2.0-1
python-toml 0.10.2-5
python-tomli 1.2.2-4
python-typed-ast 1.5.1-1
python-typing_extensions 3.10.0.2-4
python-urllib3 1.26.7-5
python-waitress 2.0.0-3
python-webencodings 0.5.1-9
python-werkzeug 2.0.2-3
python-wheel 0.37.0-4
python-zipp 3.6.0-3
python2 2.7.18-5
python2-appdirs 1.4.4-6
python2-ordered-set 3.1.1-3
python2-packaging 20.9-6
python2-pyparsing 2.4.7-6
python2-setuptools 2:44.1.1-1
python2-six 1.16.0-4
qbittorrent 4.3.9-1
qrencode 4.1.1-1
qt5-base 5.15.2+kde+r263-1
qt5-declarative 5.15.2+kde+r41-1
qt5-location 5.15.2-4
qt5-multimedia 5.15.2-1
